#{"t_start": 1619470822.6716092, "env_id": null}
r,l,t
-0.218333,2,6237.277054
-0.047833,1,6243.170057
-0.605667,3,6253.246051
-0.046333,1,6259.113057
-0.048167,1,6264.516059
-0.607,3,6274.118056
-0.044667,1,6279.911046
-0.045333,1,6285.706043
-0.219167,2,6294.117052
-1.249333,4,6305.639138
-0.218833,2,6313.170157
-2.251667,5,6327.817158
-0.045,1,6333.164158
-0.217667,2,6340.706139
-0.0455,1,6345.581168
-0.218333,2,6353.564143
-0.2165,2,6361.085159
-0.222833,2,6367.873164
-0.623667,3,6377.769145
-0.044833,1,6383.034145
-0.6015,3,6392.842149
-0.5985,3,6403.336147
-0.22,2,6410.389148
-0.044667,1,6416.174173
-0.045333,1,6422.004185
-0.6305,3,6431.807148
-0.047,1,6437.328138
-1.289,4,6449.10714
-0.607167,3,6459.388168
-1.293,4,6470.161168
-2.329667,5,6484.945168
-1.2765,4,6497.308158
-0.215167,2,6505.74416
-0.046,1,6511.542147
-0.625167,3,6521.954145
-0.218333,2,6529.988158
-0.044667,1,6535.701171
-0.607667,3,6545.827164
-0.597667,3,6556.404157
-1.293833,4,6568.702152
-0.218333,2,6577.335142
-1.287,4,6589.125146
-0.220667,2,6595.328157
-0.219667,2,6603.072148
-0.0455,1,6607.938142
-1.2905,4,6620.364171
-0.205833,2,6627.822168
-0.045,1,6632.618144
-0.218833,2,6640.266169
-0.219,2,6648.666169
-0.218833,2,6656.183146
-1.310833,4,6668.691142
-0.211833,2,6676.190168
-0.605167,3,6685.476142
-0.596,3,6695.688168
-0.044667,1,6701.410158
-0.216667,2,6708.45716
-0.589,3,6718.099167
-0.605833,3,6728.307168
-1.276167,4,6739.32717
-0.046,1,6745.134139
-0.2195,2,6751.867138
-0.588,3,6762.201154
-0.044667,1,6767.901168
-0.046333,1,6773.738148
-0.208333,2,6781.747142
-0.593333,3,6791.438168
-0.044667,1,6797.180144
-0.6045,3,6808.314173
-0.603,3,6818.021146
-1.310167,4,6830.845169
-0.231333,2,6837.653146
-1.2945,4,6849.825291
-0.204167,2,6857.705148
-0.047833,1,6863.621148
-0.047833,1,6869.521167
-1.284167,4,6882.207158
-0.044667,1,6887.935173
-0.204333,2,6896.400168
-0.044833,1,6901.751142
-0.214333,2,6909.329138
-0.2195,2,6917.795158
-0.0455,1,6923.209158
-0.221,2,6931.302147
-0.2195,2,6938.497169
-0.045333,1,6943.876169
-0.045667,1,6948.720152
-0.225167,2,6956.039171
-0.218833,2,6963.689158
-0.608,3,6972.753149
-1.2885,4,6983.473152
-0.623667,3,6994.355145
-0.2195,2,7001.606172
-0.045333,1,7007.374141
-0.607833,3,7017.186143
-0.605,3,7026.927171
-0.0475,1,7032.367143
-0.045167,1,7038.203169
-0.219833,2,7044.921147
-0.045333,1,7050.733142
-0.2195,2,7058.859138
-0.624333,3,7067.758151
-0.0455,1,7073.078158
-0.603,3,7083.762159
-0.045333,1,7089.049148
-1.304333,4,7101.065159
-0.218333,2,7108.676138
-0.620833,3,7118.519148
-0.046,1,7124.339171
-0.5975,3,7133.157138
-0.6045,3,7143.345167
-0.6145,3,7152.884168
-1.278,4,7166.190143
-0.217333,2,7173.757168
-0.204333,2,7180.49216
-0.044667,1,7186.23417
-0.044667,1,7191.970167
-0.044667,1,7197.687146
-0.2195,2,7204.941169
-0.618333,3,7215.680168
-0.603,3,7225.940172
-0.048167,1,7231.45516
-0.219,2,7239.933172
-0.048167,1,7245.431139
-0.618333,3,7256.324167
-0.047333,1,7261.272159
-0.214333,2,7269.338161
-0.218333,2,7277.387142
-0.6045,3,7287.550147
-0.044833,1,7292.893142
-0.6045,3,7304.053142
-0.218333,2,7312.516168
-0.045,1,7317.902169
